"Timestamp","What is your gender? ","What is your major/field of study? ","  What is your current year of study?  ","Are you a full-time student?","How often do you feel stressed because of your academic workload?","On average, how many hours per day do you spend on leisure activities?","Which leisure activity do you spend the most time on? ","How often do leisure activities interfere with your study time? ","Do you think you manage your time effectively between studying and leisure? ","Which area takes more of your daily time? ","How satisfied are you with your current balance between studying and leisure? ","Do you believe better time management would improve your academic performance? ","Would you like to improve the balance between your study time and leisure time? "
"2026/04/05 6:24:18 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","1–2 hours","Watching TV / movies;Reading for pleasure","Rarely","Yes","Studying","Very satisfied","Yes","Yes"
"2026/04/05 6:25:30 PM GMT+2","Female","Computer Science","Second year","Yes","Always","5–6 hours","Watching TV / movies;Sports / exercise;Reading for pleasure","Maybe","Yes","Leisure activities","Satisfied","No","No"
"2026/04/05 6:26:07 PM GMT+2","Female","Mass communication ","Fifth year or above","No","Always","Less than 1 hour","Social media;Hanging out with friends","Maybe","No","Studying","Dissatisfied","Yes","Yes"
"2026/04/05 6:33:34 PM GMT+2","Female","Computer Science","Second year","Yes","Always","3–4 hours","Social media;Sports / exercise","Often","No","Studying","Dissatisfied","Yes","Yes"
"2026/04/05 6:39:20 PM GMT+2","Male","Computer Science","Second year","Yes","Always","3–4 hours","Social media;Watching TV / movies;Hanging out with friends","Always","No","Leisure activities","Very dissatisfied","Yes","Yes"
"2026/04/05 7:01:11 PM GMT+2","Female","Computer Science","Second year","Yes","Often","1–2 hours","Social media","Often","Yes","Both equally","Neutral","Yes","Yes"
"2026/04/05 7:05:37 PM GMT+2","Female","Computer Science","Second year","Yes","Often","3–4 hours","Social media;Watching TV / movies;Reading for pleasure","Often","No","Leisure activities","Neutral","Yes","Yes"
"2026/04/05 7:15:55 PM GMT+2","Male","Engineering","First year","Yes","Always","3–4 hours","Social media;Watching TV / movies;Gaming;Hanging out with friends","Always","Yes","Both equally","Neutral","Yes","Yes"
"2026/04/05 7:17:01 PM GMT+2","Male","Still in highschool senior year","Third year","Yes","Sometimes","5–6 hours","Social media;Watching TV / movies;Gaming","Often","No","Leisure activities","Dissatisfied","Yes","Yes"
"2026/04/05 7:19:17 PM GMT+2","Male","Computer Science","Second year","Yes","Sometimes","More than 6 hours","Social media;Watching TV / movies","Always","Yes","Leisure activities","Satisfied","Yes","Yes"
"2026/04/05 7:20:38 PM GMT+2","Female","Computer Science","Second year","Yes","Sometimes","3–4 hours","Social media;Gaming","Maybe","No","Both equally","Neutral","Yes","Yes"
"2026/04/05 7:20:49 PM GMT+2","Male","Engineering","First year","Yes","Sometimes","3–4 hours","Gaming;Hanging out with friends","Often","Yes","Leisure activities","Satisfied","Yes","Yes"
"2026/04/05 7:24:55 PM GMT+2","Male","Digital Arts","First year","Yes","Sometimes","3–4 hours","Social media;Gaming;Hanging out with friends","Often","No","Both equally","Dissatisfied","Yes","Yes"
"2026/04/05 7:27:15 PM GMT+2","Male","Engineering","First year","Yes","Often","1–2 hours","Social media;Gaming;Sports / exercise;Hanging out with friends","Maybe","Yes","Studying","Neutral","Yes","Yes"
"2026/04/05 7:41:32 PM GMT+2","Male","Medicine","Fourth year","Yes","Often","3–4 hours","Social media;Watching TV / movies;Sports / exercise;Hanging out with friends","Often","No","Leisure activities","Satisfied","No","Yes"
"2026/04/05 7:43:13 PM GMT+2","Female","Computer Science","Second year","Yes","Always","More than 6 hours","Social media;Hanging out with friends","Always","No","Leisure activities","Very dissatisfied","Yes","Yes"
